pilot_id,relative_path,category,label,selection_score
DVP_001_00009dcb92a2,Data/Tables/0_real/PMC3361340_table_0.jpg,Tables,0,00009dcb92a240c39f1ee189e4deea2ae3e8d647e62e9a805d439b290f771c87
DVP_002_00095f59a74b,Data/Receipts/1_fake/receipt_0609.png,Receipts,1,00095f59a74b0b77e37a3ddd7832ed3b4702834b4470922b844929ca1ce86451
DVP_003_000cc7e882fa,Data/AcademicPosters/1_fake/academic_poster_0823.png,AcademicPosters,1,000cc7e882fabdf7313a6fd6573c47d73063a1c2ef2aa2f2c6dfc5cf36d13d93
DVP_004_000f693d4a62,Data/UIScreenshots/1_fake/ui_0844.png,UIScreenshots,1,000f693d4a62c690cc1e856d3ba95b1c5bfd60216b8960a020fc66396ec1cbc4
DVP_005_001093bb82c1,Data/CommercialPosters/1_fake/commercial_poster_0332.png,CommercialPosters,1,001093bb82c1194793baa9cb688cd37046f11b9f8b1fb12950a0e0dcdb0d06da
DVP_006_001b9f70299d,Data/UIScreenshots/1_fake/ui_0850.png,UIScreenshots,1,001b9f70299d948007ea23398f1c0ec3f78e10549b29d4482324d01e68516976
DVP_007_0020f18400cc,Data/UIScreenshots/0_real/3942.jpg,UIScreenshots,0,0020f18400cc5659cf9066f7cfa9d26f38742afa3d7c5e9bcfb159860eef1764
DVP_008_002425e25739,Data/InfographicCharts/1_fake/infographic_chart_0455.png,InfographicCharts,1,002425e25739289f8cf25b54b91a6d594c4221fa9fd8d99d37a51b29af3c3a2f
DVP_009_002812010de4,Data/InfographicCharts/1_fake/infographic_chart_0373.png,InfographicCharts,1,002812010de40cafc1f8b91cea40c69a3cf0b6c5e607c5da87e26e8d8da3339a
DVP_010_002cab38dc59,Data/AcademicPosters/1_fake/academic_poster_0393.png,AcademicPosters,1,002cab38dc5903f57dfe60207b2ab33c8d6c7fb528ed7eb533775e1d3dc594e0
DVP_011_003f16df2207,Data/UIScreenshots/0_real/6011.jpg,UIScreenshots,0,003f16df22073713f5acbdb282968d1c4aa9ee090b727246585035dc6eaac2cc
DVP_012_0042fe15d832,Data/InfographicCharts/0_real/00013316.jpeg,InfographicCharts,0,0042fe15d832eb00925469d2200865eff5d2dfa6a89713efa4d4532cc75a14cc
DVP_013_004b61a8ee7f,Data/Tables/1_fake/table_0726.png,Tables,1,004b61a8ee7f4ed18324f691f743821399744e4fbe94433c44e6f5071259a463
DVP_014_00553172e64a,Data/Receipts/1_fake/receipt_0214.png,Receipts,1,00553172e64a8b6c04372917bd7915850af7a9b8fa37dd697436fc77765f37b1
DVP_015_0062f18128e1,Data/InfographicCharts/0_real/00000395.jpeg,InfographicCharts,0,0062f18128e17c088835337147c13cfc3099f8e77ef61a0592fc787ddccf6888
DVP_016_0067c7996c04,Data/CommercialPosters/0_real/5ecd32ca499b85dcc7980750_preview.jpg,CommercialPosters,0,0067c7996c048d14662766d4ab2ceac22b0481ab9a367a20d55f8b9ff67e7842
DVP_017_0071d7b81993,Data/CommercialPosters/1_fake/commercial_poster_0990.png,CommercialPosters,1,0071d7b81993b3ef76902a02a75b46525913b067844ae78ba976eb2dbb6f27f9
DVP_018_0074132a6a8f,Data/Tables/1_fake/table_0293.png,Tables,1,0074132a6a8ffe036a39e75b5fcaf74abc4a33c41f56d80c14508b9f97391c24
DVP_019_007a18897b6b,Data/Tables/0_real/PMC5664791_table_1.jpg,Tables,0,007a18897b6b2f97d0ace84243885eb3c63cd3970058ec4d3335cf4bcb523cf3
DVP_020_00a25e8951c0,Data/AcademicPosters/0_real/NeurIPS_2022_54176_Streaming Radiance Fields for 3D Video Synthesis.png,AcademicPosters,0,00a25e8951c0cceb890a4c1120e7102f2cf3d867f1e826a928ade62ba827f8e1
DVP_021_00b8efaf230b,Data/Receipts/0_real/X51007339118.jpg,Receipts,0,00b8efaf230bb72664c336190c27a2c33fa56b8e18b4b06ae68f4c7317d21aea
DVP_022_00c49d3e5261,Data/AcademicPosters/0_real/ICLR_2022_6636_Map Induction_ Compositional spatial submap learning for eff.png,AcademicPosters,0,00c49d3e52610d5ae9e7f0e2092f45fa06e4573dedad13aa0a032ba7c443654c
DVP_023_00c60ed30745,Data/Receipts/0_real/X51005715006.jpg,Receipts,0,00c60ed307450522a478fadeaa1cdbd65314f98b603edec09f4bd4f7813f556f
DVP_024_0118f3cf4061,Data/CommercialPosters/0_real/5a6f2b1d8c32ec6f8bc5567e_preview.jpg,CommercialPosters,0,0118f3cf40611bac1068a04180392962c8d1807e4b3ce13daa98acc7c678f67e
