pilot_id,relative_path,status,error,image_width,image_height,num_regions,runtime_seconds
DVP_001_00009dcb92a2,Data/Tables/0_real/PMC3361340_table_0.jpg,ok,,684,278,89,0.8131012999983795
DVP_002_00095f59a74b,Data/Receipts/1_fake/receipt_0609.png,ok,,1023,1537,61,0.23645479999868257
DVP_003_000cc7e882fa,Data/AcademicPosters/1_fake/academic_poster_0823.png,ok,,1402,1122,176,0.2930928000005224
DVP_004_000f693d4a62,Data/UIScreenshots/1_fake/ui_0844.png,ok,,941,1672,64,0.2108819000004587
DVP_005_001093bb82c1,Data/CommercialPosters/1_fake/commercial_poster_0332.png,ok,,1448,1086,32,0.24901429999954416
DVP_006_001b9f70299d,Data/UIScreenshots/1_fake/ui_0850.png,ok,,941,1672,43,0.19764590000158933
DVP_007_0020f18400cc,Data/UIScreenshots/0_real/3942.jpg,ok,,1080,1920,8,0.1916101000006165
DVP_008_002425e25739,Data/InfographicCharts/1_fake/infographic_chart_0455.png,ok,,1254,1254,37,0.34023960000013176
DVP_009_002812010de4,Data/InfographicCharts/1_fake/infographic_chart_0373.png,ok,,1347,1167,57,0.306465699999535
DVP_010_002cab38dc59,Data/AcademicPosters/1_fake/academic_poster_0393.png,ok,,1402,1122,209,0.3007835000007617
DVP_011_002cb99f3691,Data/AcademicPosters/1_fake/academic_poster_0655.png,ok,,1402,1122,158,0.28712869999981194
DVP_012_002d584c4e7f,Data/AcademicPosters/1_fake/academic_poster_0234.png,ok,,1402,1122,190,0.2890996999994968
DVP_013_003f16df2207,Data/UIScreenshots/0_real/6011.jpg,ok,,1080,1920,44,0.18952040000112902
DVP_014_0042fe15d832,Data/InfographicCharts/0_real/00013316.jpeg,ok,,1200,1200,30,0.33369929999935266
DVP_015_0046cf9c9f1a,Data/AcademicPosters/1_fake/academic_poster_0602.png,ok,,1402,1122,204,0.29343619999963266
DVP_016_004b61a8ee7f,Data/Tables/1_fake/table_0726.png,ok,,1402,1122,120,0.27561040000000503
DVP_017_0051c3354791,Data/InfographicCharts/1_fake/infographic_chart_0399.png,ok,,1402,1122,50,0.2600670000010723
DVP_018_00553172e64a,Data/Receipts/1_fake/receipt_0214.png,ok,,1015,1549,69,0.20938030000070285
DVP_019_0062f18128e1,Data/InfographicCharts/0_real/00000395.jpeg,ok,,1200,1200,57,0.34679589999905147
DVP_020_0067c7996c04,Data/CommercialPosters/0_real/5ecd32ca499b85dcc7980750_preview.jpg,ok,,576,1024,3,0.1846138000000792
DVP_021_006c5fceb252,Data/InfographicCharts/0_real/00015440.jpeg,ok,,1200,1200,65,0.33799899999939953
DVP_022_0071d7b81993,Data/CommercialPosters/1_fake/commercial_poster_0990.png,ok,,1086,1448,31,0.2452240000002348
DVP_023_0074132a6a8f,Data/Tables/1_fake/table_0293.png,ok,,1375,1144,78,0.30216660000041884
