category,real_id,fake_id,real_region_count,fake_region_count,absolute_region_count_difference
AcademicPosters,DVP_153_038d09fb52e0,DVP_186_0465d5cbc490,181,181,0
AcademicPosters,DVP_219_04fccf89aa24,DVP_335_0730d4ca0586,207,207,0
AcademicPosters,DVP_251_05ae9200a6ac,DVP_226_052be9ccc57a,232,232,0
AcademicPosters,DVP_360_07dbdeab758a,DVP_218_04f0e05bd948,202,202,0
AcademicPosters,DVP_391_08cfdc2d7caf,DVP_558_0ccadbfa9781,203,203,0
AcademicPosters,DVP_422_09878aa1c689,DVP_253_05b305662210,181,181,0
AcademicPosters,DVP_433_09c6571c87b0,DVP_074_01dd36157623,191,191,0
AcademicPosters,DVP_549_0c6bb81eaf3f,DVP_042_00d29d8e111a,170,170,0
AcademicPosters,DVP_112_02a4e6d7446a,DVP_012_002d584c4e7f,189,190,1
AcademicPosters,DVP_215_04ecaa8382b4,DVP_435_09c9cd245e0f,194,193,1
AcademicPosters,DVP_259_05e49ad64133,DVP_011_002cb99f3691,157,158,1
AcademicPosters,DVP_410_094c3c75b377,DVP_420_097f671d1491,169,170,1
AcademicPosters,DVP_493_0af26a6eec42,DVP_489_0ae02d02d603,162,161,1
AcademicPosters,DVP_538_0bf825545171,DVP_405_0933b90fd08d,231,232,1
AcademicPosters,DVP_581_0dcc026c07a0,DVP_003_000cc7e882fa,177,176,1
AcademicPosters,DVP_119_02cc39f73e5d,DVP_369_081f22026de9,195,197,2
AcademicPosters,DVP_306_06c1784af6ad,DVP_531_0bcd9d91c783,139,141,2
AcademicPosters,DVP_396_0900981544d1,DVP_411_094dfc13302c,149,151,2
AcademicPosters,DVP_409_093d175c5814,DVP_235_056a4f4b96eb,221,219,2
AcademicPosters,DVP_462_0a4bf8241ac8,DVP_452_0a26175758eb,163,165,2
AcademicPosters,DVP_254_05b44799ffcb,DVP_170_03e68175455f,256,253,3
AcademicPosters,DVP_504_0b157ce92345,DVP_460_0a4814ed58cc,126,129,3
AcademicPosters,DVP_545_0c1a1d4412be,DVP_130_0304baffb657,194,190,4
AcademicPosters,DVP_041_00cc2dbc33ae,DVP_470_0a8058cd3bc6,226,218,8
AcademicPosters,DVP_212_04dad64a120e,DVP_122_02ce3fd63e2d,274,283,9
AcademicPosters,DVP_339_07558c1260cc,DVP_519_0b864300ae06,230,244,14
AcademicPosters,DVP_031_00a25e8951c0,DVP_367_080749552209,148,171,23
AcademicPosters,DVP_373_0845fa95df7e,DVP_114_02b9966d5a47,145,174,29
AcademicPosters,DVP_434_09c8e2199746,DVP_027_007f8f10cccb,145,176,31
AcademicPosters,DVP_062_019b773ed49c,DVP_559_0ce7bb869743,145,179,34
AcademicPosters,DVP_082_020a623627d7,DVP_340_075962414ea9,144,182,38
AcademicPosters,DVP_445_0a1183b1adc0,DVP_464_0a59d0d29861,138,182,44
AcademicPosters,DVP_553_0c766e52f0db,DVP_093_0232ea61c149,133,182,49
AcademicPosters,DVP_081_02055dc1a918,DVP_562_0cf9b1e60578,269,216,53
AcademicPosters,DVP_390_08cbc19b9252,DVP_567_0d1603b3c107,125,184,59
AcademicPosters,DVP_536_0be909eacf98,DVP_208_04c2386e1098,123,188,65
AcademicPosters,DVP_425_09940b5d09b5,DVP_277_0638e1bd0404,122,190,68
AcademicPosters,DVP_038_00c49d3e5261,DVP_279_0641ac087f4c,120,198,78
AcademicPosters,DVP_498_0b01c718747a,DVP_482_0aaf6a153d14,296,214,82
AcademicPosters,DVP_342_0765cd7af24d,DVP_024_007917063fc5,116,201,85
AcademicPosters,DVP_481_0aae88de0b01,DVP_286_066256a0f6aa,297,211,86
AcademicPosters,DVP_570_0d3345a3a535,DVP_403_092bacb8b31c,305,211,94
AcademicPosters,DVP_427_0999400278d0,DVP_495_0af7ba8d435e,102,201,99
AcademicPosters,DVP_450_0a16dab1f383,DVP_564_0d04d51266e8,96,201,105
AcademicPosters,DVP_572_0d346a60a61a,DVP_359_07d9383564a0,314,209,105
AcademicPosters,DVP_179_04374a4148aa,DVP_015_0046cf9c9f1a,95,204,109
AcademicPosters,DVP_209_04cb18c188df,DVP_486_0ac6557b2c14,90,205,115
AcademicPosters,DVP_056_016cbad5c739,DVP_500_0b053d221f0f,63,206,143
AcademicPosters,DVP_178_042e15f234bd,DVP_529_0bc29bdfc9bc,61,209,148
AcademicPosters,DVP_530_0bc9e241e13c,DVP_010_002cab38dc59,396,209,187
CommercialPosters,DVP_139_0325723ec38b,DVP_128_0301352ea55d,8,8,0
CommercialPosters,DVP_310_06d0c2e0f7a0,DVP_145_0342518b0885,23,23,0
CommercialPosters,DVP_319_06f82248e7a0,DVP_280_0645ee0a1670,33,33,0
CommercialPosters,DVP_404_092e70a3e049,DVP_379_087250bbd4b2,18,18,0
CommercialPosters,DVP_416_096b5a876238,DVP_216_04ecfe00d3bf,17,17,0
CommercialPosters,DVP_395_08f821ff55d2,DVP_414_095d86225e40,16,17,1
CommercialPosters,DVP_197_049a2d8967d4,DVP_421_09874ff2b050,14,18,4
CommercialPosters,DVP_331_07132334c0a5,DVP_431_09c41522f3ba,11,19,8
CommercialPosters,DVP_341_075a99b5d711,DVP_285_06544e05396c,11,20,9
CommercialPosters,DVP_365_07f60bb21a95,DVP_188_047ae93816b5,10,21,11
CommercialPosters,DVP_191_04804586f4c6,DVP_384_089134d57463,9,21,12
CommercialPosters,DVP_348_07985044ac49,DVP_444_0a082498dc33,9,23,14
CommercialPosters,DVP_158_03a14c2ed9fb,DVP_296_0697b2ffb70d,8,24,16
CommercialPosters,DVP_194_049011cca525,DVP_036_00bf168fd92d,8,24,16
CommercialPosters,DVP_241_057c47f53b57,DVP_249_05a521d83271,8,25,17
CommercialPosters,DVP_255_05b5bf5f25c6,DVP_311_06e3f5c03243,8,25,17
CommercialPosters,DVP_483_0ab23687bb20,DVP_473_0a9f528519bc,8,25,17
CommercialPosters,DVP_063_019c92e3ffab,DVP_413_09572fccb482,8,26,18
CommercialPosters,DVP_196_0497ef8ea70e,DVP_124_02e23210677c,7,27,20
CommercialPosters,DVP_227_053539053575,DVP_184_0461bc03749e,7,27,20
CommercialPosters,DVP_509_0b30a0beaa14,DVP_198_04a0447b3c66,7,28,21
CommercialPosters,DVP_162_03b003a6be84,DVP_366_07facbd3786f,6,28,22
CommercialPosters,DVP_260_05e529f9cfda,DVP_371_083590cf3c93,6,28,22
CommercialPosters,DVP_301_06aa00aeed64,DVP_067_01b2837fcc3a,6,28,22
CommercialPosters,DVP_382_0884e94fc99d,DVP_224_0517d958fb6b,6,29,23
CommercialPosters,DVP_385_08a8e5848233,DVP_358_07d2155f383a,6,29,23
CommercialPosters,DVP_437_09d3c7f188b6,DVP_274_0621d329f787,6,30,24
CommercialPosters,DVP_480_0aae250404b5,DVP_070_01c3147af964,6,30,24
CommercialPosters,DVP_484_0ab436e83341,DVP_022_0071d7b81993,6,31,25
CommercialPosters,DVP_090_022217b75e79,DVP_328_07092f372b50,6,31,25
CommercialPosters,DVP_111_02928c727622,DVP_375_0859f90154b6,5,31,26
CommercialPosters,DVP_315_06ecad67a691,DVP_320_06f9cddc3e0b,5,32,27
CommercialPosters,DVP_491_0ae7919812ab,DVP_005_001093bb82c1,5,32,27
CommercialPosters,DVP_088_021de251c037,DVP_415_0961007bdcba,5,32,27
CommercialPosters,DVP_152_038afef990e9,DVP_293_0685e95b5a54,4,33,29
CommercialPosters,DVP_173_04043f432f31,DVP_035_00bcfd0e9c96,4,33,29
CommercialPosters,DVP_190_047f94cd2662,DVP_051_013feef01c56,4,34,30
