scope,feature_group,fold,balanced_accuracy,images,features
pooled,quantity_only,1,0.7037037037037037,268,10
pooled,quantity_only,2,0.7592592592592593,268,10
pooled,quantity_only,3,0.7407407407407407,268,10
pooled,quantity_only,4,0.7592592592592593,268,10
pooled,quantity_only,5,0.8846153846153846,268,10
pooled,quantity_only,mean,0.7695156695156695,268,10
pooled,arrangement_only,1,0.48148148148148145,268,96
pooled,arrangement_only,2,0.6666666666666667,268,96
pooled,arrangement_only,3,0.6481481481481481,268,96
pooled,arrangement_only,4,0.6111111111111112,268,96
pooled,arrangement_only,5,0.6730769230769231,268,96
pooled,arrangement_only,mean,0.6160968660968662,268,96
pooled,quantity_plus_arrangement,1,0.6481481481481481,268,106
pooled,quantity_plus_arrangement,2,0.6851851851851851,268,106
pooled,quantity_plus_arrangement,3,0.7592592592592593,268,106
pooled,quantity_plus_arrangement,4,0.7037037037037037,268,106
pooled,quantity_plus_arrangement,5,0.8461538461538461,268,106
pooled,quantity_plus_arrangement,mean,0.7284900284900285,268,106
AcademicPosters,quantity_only,1,1.0,50,10
AcademicPosters,quantity_only,2,0.9,50,10
AcademicPosters,quantity_only,3,0.9,50,10
AcademicPosters,quantity_only,4,1.0,50,10
AcademicPosters,quantity_only,5,0.9,50,10
AcademicPosters,quantity_only,mean,0.9400000000000001,50,10
AcademicPosters,arrangement_only,1,0.6,50,96
AcademicPosters,arrangement_only,2,0.7,50,96
AcademicPosters,arrangement_only,3,0.9,50,96
AcademicPosters,arrangement_only,4,0.8,50,96
AcademicPosters,arrangement_only,5,0.8,50,96
AcademicPosters,arrangement_only,mean,0.76,50,96
AcademicPosters,quantity_plus_arrangement,1,0.9,50,106
AcademicPosters,quantity_plus_arrangement,2,0.8,50,106
AcademicPosters,quantity_plus_arrangement,3,0.9,50,106
AcademicPosters,quantity_plus_arrangement,4,1.0,50,106
AcademicPosters,quantity_plus_arrangement,5,0.8,50,106
AcademicPosters,quantity_plus_arrangement,mean,0.8800000000000001,50,106
CommercialPosters,quantity_only,1,0.75,18,10
CommercialPosters,quantity_only,2,0.5,18,10
