category,real_id,fake_id,real_region_count,fake_region_count,absolute_region_count_difference
AcademicPosters,DVP_153_038d09fb52e0,DVP_186_0465d5cbc490,181,181,0
AcademicPosters,DVP_219_04fccf89aa24,DVP_335_0730d4ca0586,207,207,0
AcademicPosters,DVP_251_05ae9200a6ac,DVP_226_052be9ccc57a,232,232,0
AcademicPosters,DVP_360_07dbdeab758a,DVP_218_04f0e05bd948,202,202,0
AcademicPosters,DVP_391_08cfdc2d7caf,DVP_558_0ccadbfa9781,203,203,0
AcademicPosters,DVP_422_09878aa1c689,DVP_253_05b305662210,181,181,0
AcademicPosters,DVP_433_09c6571c87b0,DVP_074_01dd36157623,191,191,0
AcademicPosters,DVP_549_0c6bb81eaf3f,DVP_042_00d29d8e111a,170,170,0
AcademicPosters,DVP_112_02a4e6d7446a,DVP_012_002d584c4e7f,189,190,1
AcademicPosters,DVP_215_04ecaa8382b4,DVP_435_09c9cd245e0f,194,193,1
AcademicPosters,DVP_259_05e49ad64133,DVP_011_002cb99f3691,157,158,1
AcademicPosters,DVP_410_094c3c75b377,DVP_420_097f671d1491,169,170,1
AcademicPosters,DVP_493_0af26a6eec42,DVP_489_0ae02d02d603,162,161,1
AcademicPosters,DVP_538_0bf825545171,DVP_405_0933b90fd08d,231,232,1
AcademicPosters,DVP_581_0dcc026c07a0,DVP_003_000cc7e882fa,177,176,1
AcademicPosters,DVP_119_02cc39f73e5d,DVP_369_081f22026de9,195,197,2
AcademicPosters,DVP_306_06c1784af6ad,DVP_531_0bcd9d91c783,139,141,2
AcademicPosters,DVP_396_0900981544d1,DVP_411_094dfc13302c,149,151,2
AcademicPosters,DVP_409_093d175c5814,DVP_235_056a4f4b96eb,221,219,2
AcademicPosters,DVP_462_0a4bf8241ac8,DVP_452_0a26175758eb,163,165,2
AcademicPosters,DVP_254_05b44799ffcb,DVP_170_03e68175455f,256,253,3
AcademicPosters,DVP_504_0b157ce92345,DVP_460_0a4814ed58cc,126,129,3
AcademicPosters,DVP_545_0c1a1d4412be,DVP_130_0304baffb657,194,190,4
AcademicPosters,DVP_041_00cc2dbc33ae,DVP_470_0a8058cd3bc6,226,218,8
AcademicPosters,DVP_212_04dad64a120e,DVP_122_02ce3fd63e2d,274,283,9
CommercialPosters,DVP_139_0325723ec38b,DVP_128_0301352ea55d,8,8,0
CommercialPosters,DVP_310_06d0c2e0f7a0,DVP_145_0342518b0885,23,23,0
CommercialPosters,DVP_319_06f82248e7a0,DVP_280_0645ee0a1670,33,33,0
CommercialPosters,DVP_404_092e70a3e049,DVP_379_087250bbd4b2,18,18,0
CommercialPosters,DVP_416_096b5a876238,DVP_216_04ecfe00d3bf,17,17,0
CommercialPosters,DVP_395_08f821ff55d2,DVP_414_095d86225e40,16,17,1
CommercialPosters,DVP_197_049a2d8967d4,DVP_421_09874ff2b050,14,18,4
CommercialPosters,DVP_331_07132334c0a5,DVP_431_09c41522f3ba,11,19,8
CommercialPosters,DVP_341_075a99b5d711,DVP_285_06544e05396c,11,20,9
InfographicCharts,DVP_116_02beb0a67404,DVP_592_0e85adb10d0e,61,61,0
InfographicCharts,DVP_159_03a8a35a4bdf,DVP_351_07ae8b9000a5,43,43,0
InfographicCharts,DVP_169_03e5c2e492ad,DVP_222_050f95ac8ef6,46,46,0
InfographicCharts,DVP_019_0062f18128e1,DVP_506_0b22d1f82a55,57,57,0
InfographicCharts,DVP_246_05878b2bce2e,DVP_593_0eaeb55fdf58,34,34,0
InfographicCharts,DVP_278_063cae472877,DVP_574_0d453d7e358b,46,46,0
InfographicCharts,DVP_325_070354515253,DVP_488_0adb2e63d236,40,40,0
InfographicCharts,DVP_430_09b56a4a580e,DVP_392_08ddbd7a6855,26,26,0
InfographicCharts,DVP_466_0a71e8e5e411,DVP_297_06a231a4a243,42,42,0
InfographicCharts,DVP_469_0a7dcbbbe9b1,DVP_110_028f5270e575,37,37,0
InfographicCharts,DVP_478_0aab58efff9b,DVP_426_0996fb0186cc,54,54,0
InfographicCharts,DVP_492_0af08253c4f6,DVP_523_0b98808ec61b,58,58,0
InfographicCharts,DVP_494_0af6e996a392,DVP_477_0aa813c4162b,38,38,0
InfographicCharts,DVP_014_0042fe15d832,DVP_333_0719acecc8c7,30,31,1
InfographicCharts,DVP_133_0312b40955d7,DVP_596_0f56f0a940ec,22,21,1
InfographicCharts,DVP_021_006c5fceb252,DVP_108_028b65d87e95,65,66,1
InfographicCharts,DVP_272_06200c0d1051,DVP_053_0147eb1ff5d1,43,42,1
InfographicCharts,DVP_343_076c2901d01e,DVP_563_0d0220f9836f,39,38,1
InfographicCharts,DVP_380_087429440d86,DVP_032_00b1b3aebe3c,36,37,1
InfographicCharts,DVP_397_09011f0dc9e9,DVP_008_002425e25739,36,37,1
InfographicCharts,DVP_419_097a5f6cbe89,DVP_132_030983c8fa4b,48,49,1
InfographicCharts,DVP_144_03418685a0a2,DVP_258_05dd51433e7a,44,41,3
InfographicCharts,DVP_388_08bc05fd6276,DVP_221_05057e775dfb,46,49,3
InfographicCharts,DVP_072_01d0a9a5868e,DVP_507_0b299e3ae5a3,44,41,3
InfographicCharts,DVP_326_0705e9598fb0,DVP_399_091793ca9a04,45,49,4
InfographicCharts,DVP_361_07dc7c9c5809,DVP_017_0051c3354791,45,50,5
InfographicCharts,DVP_099_02500044356e,DVP_584_0de387de0e37,34,40,6
Receipts,DVP_160_03aad9447ce8,DVP_101_02626788ced6,49,49,0
Receipts,DVP_203_04b1f35f7cd2,DVP_398_09093b1d690f,57,57,0
Receipts,DVP_206_04bb458310c6,DVP_117_02c2c2109c2c,46,46,0
Receipts,DVP_233_055881711938,DVP_217_04ee1825c968,52,52,0
Receipts,DVP_257_05d6d75ba1a4,DVP_347_079571b6428e,66,66,0
Receipts,DVP_273_06219bb18793,DVP_314_06ec60ab2600,60,60,0
Receipts,DVP_281_0648bc118ed2,DVP_386_08ad1f51ffec,56,56,0
Receipts,DVP_283_064bd67843bf,DVP_502_0b0c39795c86,57,57,0
Receipts,DVP_034_00b8efaf230b,DVP_472_0a8ccd749081,49,49,0
Receipts,DVP_039_00c60ed30745,DVP_185_046302a49031,46,46,0
Receipts,DVP_406_0933f7601889,DVP_243_0580f91e5eb6,65,65,0
Receipts,DVP_508_0b2daa12eef4,DVP_316_06ee7f063244,44,44,0
Receipts,DVP_573_0d3a801aee33,DVP_350_07abf14003c8,47,47,0
Receipts,DVP_587_0e240470850e,DVP_229_053bd991248f,45,45,0
Receipts,DVP_079_01f0f7822803,DVP_514_0b5494aa5257,44,44,0
Receipts,DVP_107_028675fa3647,DVP_295_06972b96417d,58,59,1
Receipts,DVP_120_02cdf19a37bd,DVP_091_022e6e2fb2a9,58,57,1
Receipts,DVP_137_0323464245f0,DVP_400_091833b1d8e6,51,50,1
Receipts,DVP_195_0493d80fb427,DVP_030_00993b6ea489,42,41,1
Receipts,DVP_204_04b76022cec2,DVP_069_01bcfb59c00e,43,44,1
Receipts,DVP_234_05652e2f5c76,DVP_269_061c926314fe,54,53,1
Receipts,DVP_370_082134b38ddd,DVP_451_0a1bf30491cb,71,72,1
Receipts,DVP_394_08f67efff123,DVP_393_08e51fce38ce,46,45,1
Receipts,DVP_543_0c0fc4ad15d5,DVP_018_00553172e64a,70,69,1
Receipts,DVP_448_0a12b2e81fd7,DVP_338_0754370039b2,58,60,2
Receipts,DVP_457_0a2f5b07486a,DVP_408_093b8b226594,58,60,2
Receipts,DVP_040_00c7f8f86a6c,DVP_463_0a4f6462c509,48,52,4
