scope,feature_group,fold,balanced_accuracy,images,features
pooled,quantity_only,1,0.7037037037037037,268,10
pooled,quantity_only,2,0.7592592592592593,268,10
pooled,quantity_only,3,0.7407407407407407,268,10
pooled,quantity_only,4,0.7592592592592593,268,10
pooled,quantity_only,5,0.8846153846153846,268,10
pooled,quantity_only,mean,0.7695156695156695,268,10
pooled,arrangement_only,1,0.48148148148148145,268,96
pooled,arrangement_only,2,0.6666666666666667,268,96
pooled,arrangement_only,3,0.6481481481481481,268,96
pooled,arrangement_only,4,0.6111111111111112,268,96
pooled,arrangement_only,5,0.6730769230769231,268,96
pooled,arrangement_only,mean,0.6160968660968662,268,96
pooled,arrangement_base_only,1,0.537037037037037,268,16
pooled,arrangement_base_only,2,0.5555555555555556,268,16
pooled,arrangement_base_only,3,0.6481481481481481,268,16
pooled,arrangement_base_only,4,0.48148148148148145,268,16
pooled,arrangement_base_only,5,0.6730769230769231,268,16
pooled,arrangement_base_only,mean,0.5790598290598291,268,16
pooled,arrangement_4x4_only,1,0.5185185185185185,268,32
pooled,arrangement_4x4_only,2,0.5555555555555556,268,32
pooled,arrangement_4x4_only,3,0.6481481481481481,268,32
pooled,arrangement_4x4_only,4,0.5,268,32
pooled,arrangement_4x4_only,5,0.6346153846153846,268,32
pooled,arrangement_4x4_only,mean,0.5713675213675213,268,32
pooled,arrangement_8x8_only,1,0.5555555555555556,268,80
pooled,arrangement_8x8_only,2,0.6296296296296295,268,80
pooled,arrangement_8x8_only,3,0.6481481481481481,268,80
pooled,arrangement_8x8_only,4,0.5555555555555556,268,80
pooled,arrangement_8x8_only,5,0.6730769230769231,268,80
pooled,arrangement_8x8_only,mean,0.6123931623931623,268,80
pooled,quantity_plus_arrangement,1,0.6481481481481481,268,106
pooled,quantity_plus_arrangement,2,0.6851851851851851,268,106
pooled,quantity_plus_arrangement,3,0.7592592592592593,268,106
pooled,quantity_plus_arrangement,4,0.7037037037037037,268,106
pooled,quantity_plus_arrangement,5,0.8461538461538461,268,106
pooled,quantity_plus_arrangement,mean,0.7284900284900285,268,106
