scope,feature_group,fold,balanced_accuracy,images,features
pooled,quantity_only,1,0.7083333333333334,600,10
pooled,quantity_only,2,0.725,600,10
pooled,quantity_only,3,0.675,600,10
pooled,quantity_only,4,0.7416666666666667,600,10
pooled,quantity_only,5,0.75,600,10
pooled,quantity_only,mean,0.72,600,10
pooled,arrangement_only,1,0.7,600,96
pooled,arrangement_only,2,0.7333333333333334,600,96
pooled,arrangement_only,3,0.6333333333333333,600,96
pooled,arrangement_only,4,0.65,600,96
pooled,arrangement_only,5,0.6583333333333333,600,96
pooled,arrangement_only,mean,0.6749999999999999,600,96
pooled,arrangement_base_only,1,0.6916666666666667,600,16
pooled,arrangement_base_only,2,0.7166666666666667,600,16
pooled,arrangement_base_only,3,0.675,600,16
pooled,arrangement_base_only,4,0.6166666666666667,600,16
pooled,arrangement_base_only,5,0.7583333333333333,600,16
pooled,arrangement_base_only,mean,0.6916666666666667,600,16
pooled,arrangement_4x4_only,1,0.6583333333333334,600,32
pooled,arrangement_4x4_only,2,0.7333333333333334,600,32
pooled,arrangement_4x4_only,3,0.6583333333333333,600,32
pooled,arrangement_4x4_only,4,0.6000000000000001,600,32
pooled,arrangement_4x4_only,5,0.7,600,32
pooled,arrangement_4x4_only,mean,0.6700000000000002,600,32
pooled,arrangement_8x8_only,1,0.6833333333333333,600,80
pooled,arrangement_8x8_only,2,0.7250000000000001,600,80
pooled,arrangement_8x8_only,3,0.6416666666666667,600,80
pooled,arrangement_8x8_only,4,0.6333333333333333,600,80
pooled,arrangement_8x8_only,5,0.7,600,80
pooled,arrangement_8x8_only,mean,0.6766666666666667,600,80
pooled,quantity_plus_arrangement,1,0.7166666666666667,600,106
pooled,quantity_plus_arrangement,2,0.7833333333333333,600,106
pooled,quantity_plus_arrangement,3,0.6833333333333333,600,106
pooled,quantity_plus_arrangement,4,0.7,600,106
pooled,quantity_plus_arrangement,5,0.7083333333333334,600,106
pooled,quantity_plus_arrangement,mean,0.7183333333333335,600,106
AcademicPosters,quantity_only,1,1.0,100,10
AcademicPosters,quantity_only,2,0.95,100,10
AcademicPosters,quantity_only,3,0.95,100,10
AcademicPosters,quantity_only,4,0.8,100,10
AcademicPosters,quantity_only,5,0.95,100,10
AcademicPosters,quantity_only,mean,0.93,100,10
AcademicPosters,arrangement_only,1,0.9,100,96
AcademicPosters,arrangement_only,2,0.6,100,96
AcademicPosters,arrangement_only,3,0.7,100,96
AcademicPosters,arrangement_only,4,0.8,100,96
AcademicPosters,arrangement_only,5,0.9,100,96
AcademicPosters,arrangement_only,mean,0.78,100,96
AcademicPosters,arrangement_base_only,1,0.8,100,16
AcademicPosters,arrangement_base_only,2,0.7,100,16
AcademicPosters,arrangement_base_only,3,0.9,100,16
AcademicPosters,arrangement_base_only,4,0.9,100,16
AcademicPosters,arrangement_base_only,5,0.8500000000000001,100,16
AcademicPosters,arrangement_base_only,mean,0.8300000000000001,100,16
AcademicPosters,arrangement_4x4_only,1,0.8500000000000001,100,32
AcademicPosters,arrangement_4x4_only,2,0.7,100,32
AcademicPosters,arrangement_4x4_only,3,0.8500000000000001,100,32
AcademicPosters,arrangement_4x4_only,4,0.85,100,32
AcademicPosters,arrangement_4x4_only,5,0.9,100,32
AcademicPosters,arrangement_4x4_only,mean,0.8300000000000001,100,32
AcademicPosters,arrangement_8x8_only,1,0.8,100,80
AcademicPosters,arrangement_8x8_only,2,0.7,100,80
AcademicPosters,arrangement_8x8_only,3,0.8,100,80
AcademicPosters,arrangement_8x8_only,4,0.8,100,80
AcademicPosters,arrangement_8x8_only,5,0.9,100,80
AcademicPosters,arrangement_8x8_only,mean,0.7999999999999999,100,80
AcademicPosters,quantity_plus_arrangement,1,1.0,100,106
AcademicPosters,quantity_plus_arrangement,2,0.85,100,106
AcademicPosters,quantity_plus_arrangement,3,0.9,100,106
AcademicPosters,quantity_plus_arrangement,4,0.9,100,106
AcademicPosters,quantity_plus_arrangement,5,0.95,100,106
AcademicPosters,quantity_plus_arrangement,mean,0.9199999999999999,100,106
CommercialPosters,quantity_only,1,0.9,100,10
CommercialPosters,quantity_only,2,0.95,100,10
CommercialPosters,quantity_only,3,0.95,100,10
CommercialPosters,quantity_only,4,0.85,100,10
CommercialPosters,quantity_only,5,0.95,100,10
CommercialPosters,quantity_only,mean,0.9199999999999999,100,10
CommercialPosters,arrangement_only,1,0.85,100,96
CommercialPosters,arrangement_only,2,0.75,100,96
CommercialPosters,arrangement_only,3,0.75,100,96
CommercialPosters,arrangement_only,4,0.7,100,96
CommercialPosters,arrangement_only,5,0.95,100,96
CommercialPosters,arrangement_only,mean,0.8,100,96
CommercialPosters,arrangement_base_only,1,0.9,100,16
CommercialPosters,arrangement_base_only,2,0.75,100,16
CommercialPosters,arrangement_base_only,3,0.85,100,16
CommercialPosters,arrangement_base_only,4,0.8,100,16
CommercialPosters,arrangement_base_only,5,0.9,100,16
CommercialPosters,arrangement_base_only,mean,0.8400000000000001,100,16
CommercialPosters,arrangement_4x4_only,1,0.9,100,32
CommercialPosters,arrangement_4x4_only,2,0.8,100,32
CommercialPosters,arrangement_4x4_only,3,0.85,100,32
CommercialPosters,arrangement_4x4_only,4,0.75,100,32
CommercialPosters,arrangement_4x4_only,5,0.9,100,32
CommercialPosters,arrangement_4x4_only,mean,0.8400000000000001,100,32
CommercialPosters,arrangement_8x8_only,1,0.85,100,80
CommercialPosters,arrangement_8x8_only,2,0.8,100,80
CommercialPosters,arrangement_8x8_only,3,0.8,100,80
CommercialPosters,arrangement_8x8_only,4,0.7,100,80
CommercialPosters,arrangement_8x8_only,5,0.95,100,80
CommercialPosters,arrangement_8x8_only,mean,0.8200000000000001,100,80
CommercialPosters,quantity_plus_arrangement,1,0.85,100,106
CommercialPosters,quantity_plus_arrangement,2,0.9,100,106
CommercialPosters,quantity_plus_arrangement,3,0.9,100,106
CommercialPosters,quantity_plus_arrangement,4,0.75,100,106
CommercialPosters,quantity_plus_arrangement,5,0.95,100,106
CommercialPosters,quantity_plus_arrangement,mean,0.8699999999999999,100,106
InfographicCharts,quantity_only,1,0.85,100,10
InfographicCharts,quantity_only,2,0.55,100,10
InfographicCharts,quantity_only,3,0.95,100,10
InfographicCharts,quantity_only,4,0.9,100,10
InfographicCharts,quantity_only,5,0.9,100,10
InfographicCharts,quantity_only,mean,0.8299999999999998,100,10
InfographicCharts,arrangement_only,1,0.7,100,96
InfographicCharts,arrangement_only,2,0.75,100,96
InfographicCharts,arrangement_only,3,0.75,100,96
InfographicCharts,arrangement_only,4,0.6499999999999999,100,96
InfographicCharts,arrangement_only,5,0.8,100,96
InfographicCharts,arrangement_only,mean,0.7300000000000001,100,96
InfographicCharts,arrangement_base_only,1,0.75,100,16
InfographicCharts,arrangement_base_only,2,0.6,100,16
InfographicCharts,arrangement_base_only,3,0.9,100,16
InfographicCharts,arrangement_base_only,4,0.75,100,16
InfographicCharts,arrangement_base_only,5,0.8,100,16
InfographicCharts,arrangement_base_only,mean,0.76,100,16
InfographicCharts,arrangement_4x4_only,1,0.75,100,32
InfographicCharts,arrangement_4x4_only,2,0.65,100,32
InfographicCharts,arrangement_4x4_only,3,0.7,100,32
InfographicCharts,arrangement_4x4_only,4,0.8,100,32
InfographicCharts,arrangement_4x4_only,5,0.8,100,32
InfographicCharts,arrangement_4x4_only,mean,0.7399999999999999,100,32
InfographicCharts,arrangement_8x8_only,1,0.7,100,80
InfographicCharts,arrangement_8x8_only,2,0.75,100,80
InfographicCharts,arrangement_8x8_only,3,0.75,100,80
InfographicCharts,arrangement_8x8_only,4,0.6499999999999999,100,80
InfographicCharts,arrangement_8x8_only,5,0.8500000000000001,100,80
InfographicCharts,arrangement_8x8_only,mean,0.74,100,80
InfographicCharts,quantity_plus_arrangement,1,0.8,100,106
InfographicCharts,quantity_plus_arrangement,2,0.65,100,106
InfographicCharts,quantity_plus_arrangement,3,0.95,100,106
InfographicCharts,quantity_plus_arrangement,4,0.8500000000000001,100,106
InfographicCharts,quantity_plus_arrangement,5,0.9,100,106
InfographicCharts,quantity_plus_arrangement,mean,0.8300000000000001,100,106
Receipts,quantity_only,1,0.75,100,10
Receipts,quantity_only,2,0.6,100,10
Receipts,quantity_only,3,0.8,100,10
Receipts,quantity_only,4,0.75,100,10
Receipts,quantity_only,5,0.95,100,10
Receipts,quantity_only,mean,0.7700000000000001,100,10
Receipts,arrangement_only,1,0.8500000000000001,100,96
Receipts,arrangement_only,2,0.95,100,96
Receipts,arrangement_only,3,0.85,100,96
Receipts,arrangement_only,4,0.95,100,96
Receipts,arrangement_only,5,0.9,100,96
Receipts,arrangement_only,mean,0.9,100,96
Receipts,arrangement_base_only,1,0.65,100,16
Receipts,arrangement_base_only,2,0.95,100,16
Receipts,arrangement_base_only,3,0.7,100,16
Receipts,arrangement_base_only,4,0.8,100,16
Receipts,arrangement_base_only,5,0.7,100,16
Receipts,arrangement_base_only,mean,0.76,100,16
Receipts,arrangement_4x4_only,1,0.8,100,32
Receipts,arrangement_4x4_only,2,0.9,100,32
Receipts,arrangement_4x4_only,3,0.85,100,32
Receipts,arrangement_4x4_only,4,0.85,100,32
Receipts,arrangement_4x4_only,5,0.8500000000000001,100,32
Receipts,arrangement_4x4_only,mean,0.85,100,32
Receipts,arrangement_8x8_only,1,0.8500000000000001,100,80
Receipts,arrangement_8x8_only,2,0.95,100,80
Receipts,arrangement_8x8_only,3,0.85,100,80
Receipts,arrangement_8x8_only,4,0.9,100,80
Receipts,arrangement_8x8_only,5,0.9,100,80
Receipts,arrangement_8x8_only,mean,0.89,100,80
Receipts,quantity_plus_arrangement,1,0.95,100,106
Receipts,quantity_plus_arrangement,2,0.95,100,106
Receipts,quantity_plus_arrangement,3,0.85,100,106
Receipts,quantity_plus_arrangement,4,0.9,100,106
Receipts,quantity_plus_arrangement,5,0.9,100,106
Receipts,quantity_plus_arrangement,mean,0.9099999999999999,100,106
Tables,quantity_only,1,0.75,100,10
Tables,quantity_only,2,0.75,100,10
Tables,quantity_only,3,0.95,100,10
Tables,quantity_only,4,0.8,100,10
Tables,quantity_only,5,0.8500000000000001,100,10
Tables,quantity_only,mean,0.82,100,10
Tables,arrangement_only,1,0.7,100,96
Tables,arrangement_only,2,0.7,100,96
Tables,arrangement_only,3,0.7,100,96
Tables,arrangement_only,4,0.7,100,96
Tables,arrangement_only,5,0.8,100,96
Tables,arrangement_only,mean,0.72,100,96
Tables,arrangement_base_only,1,0.65,100,16
Tables,arrangement_base_only,2,0.6499999999999999,100,16
Tables,arrangement_base_only,3,0.8,100,16
Tables,arrangement_base_only,4,0.75,100,16
Tables,arrangement_base_only,5,0.8500000000000001,100,16
Tables,arrangement_base_only,mean,0.74,100,16
Tables,arrangement_4x4_only,1,0.75,100,32
Tables,arrangement_4x4_only,2,0.7,100,32
Tables,arrangement_4x4_only,3,0.75,100,32
Tables,arrangement_4x4_only,4,0.8,100,32
Tables,arrangement_4x4_only,5,0.8500000000000001,100,32
Tables,arrangement_4x4_only,mean,0.77,100,32
Tables,arrangement_8x8_only,1,0.7,100,80
