scope,feature_group,fold,balanced_accuracy,images,features
pooled,quantity_only,1,0.75,332,10
pooled,quantity_only,2,0.7272727272727273,332,10
pooled,quantity_only,3,0.8181818181818181,332,10
pooled,quantity_only,4,0.7272727272727273,332,10
pooled,quantity_only,5,0.696969696969697,332,10
pooled,quantity_only,mean,0.7439393939393939,332,10
pooled,arrangement_only,1,0.6323529411764706,332,32
pooled,arrangement_only,2,0.6363636363636364,332,32
pooled,arrangement_only,3,0.5606060606060606,332,32
pooled,arrangement_only,4,0.6515151515151516,332,32
pooled,arrangement_only,5,0.5454545454545454,332,32
pooled,arrangement_only,mean,0.6052584670231729,332,32
pooled,quantity_plus_arrangement,1,0.6911764705882353,332,42
pooled,quantity_plus_arrangement,2,0.7424242424242424,332,42
pooled,quantity_plus_arrangement,3,0.7727272727272727,332,42
pooled,quantity_plus_arrangement,4,0.7121212121212122,332,42
pooled,quantity_plus_arrangement,5,0.7121212121212122,332,42
pooled,quantity_plus_arrangement,mean,0.7261140819964348,332,42
AcademicPosters,quantity_only,1,1.0,52,10
AcademicPosters,quantity_only,2,0.9,52,10
AcademicPosters,quantity_only,3,0.9,52,10
AcademicPosters,quantity_only,4,0.9,52,10
AcademicPosters,quantity_only,5,0.9,52,10
AcademicPosters,quantity_only,mean,0.9199999999999999,52,10
AcademicPosters,arrangement_only,1,0.9166666666666667,52,32
AcademicPosters,arrangement_only,2,0.7,52,32
AcademicPosters,arrangement_only,3,0.7,52,32
AcademicPosters,arrangement_only,4,0.8,52,32
AcademicPosters,arrangement_only,5,0.9,52,32
AcademicPosters,arrangement_only,mean,0.8033333333333333,52,32
AcademicPosters,quantity_plus_arrangement,1,1.0,52,42
AcademicPosters,quantity_plus_arrangement,2,0.9,52,42
AcademicPosters,quantity_plus_arrangement,3,0.9,52,42
AcademicPosters,quantity_plus_arrangement,4,0.9,52,42
AcademicPosters,quantity_plus_arrangement,5,0.9,52,42
AcademicPosters,quantity_plus_arrangement,mean,0.9199999999999999,52,42
CommercialPosters,quantity_only,1,0.75,40,10
CommercialPosters,quantity_only,2,1.0,40,10
CommercialPosters,quantity_only,3,0.75,40,10
CommercialPosters,quantity_only,4,0.875,40,10
CommercialPosters,quantity_only,5,0.625,40,10
CommercialPosters,quantity_only,mean,0.8,40,10
CommercialPosters,arrangement_only,1,0.625,40,32
CommercialPosters,arrangement_only,2,1.0,40,32
CommercialPosters,arrangement_only,3,0.625,40,32
CommercialPosters,arrangement_only,4,0.875,40,32
CommercialPosters,arrangement_only,5,0.5,40,32
CommercialPosters,arrangement_only,mean,0.725,40,32
CommercialPosters,quantity_plus_arrangement,1,0.75,40,42
CommercialPosters,quantity_plus_arrangement,2,1.0,40,42
CommercialPosters,quantity_plus_arrangement,3,0.75,40,42
CommercialPosters,quantity_plus_arrangement,4,0.875,40,42
CommercialPosters,quantity_plus_arrangement,5,0.75,40,42
CommercialPosters,quantity_plus_arrangement,mean,0.825,40,42
InfographicCharts,quantity_only,1,0.8333333333333333,58,10
InfographicCharts,quantity_only,2,0.9166666666666667,58,10
InfographicCharts,quantity_only,3,0.8333333333333333,58,10
InfographicCharts,quantity_only,4,0.8333333333333333,58,10
InfographicCharts,quantity_only,5,0.9,58,10
InfographicCharts,quantity_only,mean,0.8633333333333333,58,10
InfographicCharts,arrangement_only,1,0.6666666666666667,58,32
InfographicCharts,arrangement_only,2,0.5833333333333333,58,32
InfographicCharts,arrangement_only,3,0.75,58,32
InfographicCharts,arrangement_only,4,0.5833333333333334,58,32
InfographicCharts,arrangement_only,5,0.4,58,32
InfographicCharts,arrangement_only,mean,0.5966666666666667,58,32
InfographicCharts,quantity_plus_arrangement,1,0.8333333333333334,58,42
InfographicCharts,quantity_plus_arrangement,2,0.9166666666666667,58,42
InfographicCharts,quantity_plus_arrangement,3,0.8333333333333333,58,42
InfographicCharts,quantity_plus_arrangement,4,0.75,58,42
InfographicCharts,quantity_plus_arrangement,5,0.7,58,42
InfographicCharts,quantity_plus_arrangement,mean,0.8066666666666666,58,42
Receipts,quantity_only,1,0.8125,74,10
Receipts,quantity_only,2,0.875,74,10
Receipts,quantity_only,3,0.9285714285714286,74,10
Receipts,quantity_only,4,0.6428571428571428,74,10
Receipts,quantity_only,5,0.7857142857142857,74,10
Receipts,quantity_only,mean,0.8089285714285716,74,10
Receipts,arrangement_only,1,0.75,74,32
Receipts,arrangement_only,2,0.8125,74,32
Receipts,arrangement_only,3,1.0,74,32
Receipts,arrangement_only,4,0.7857142857142857,74,32
Receipts,arrangement_only,5,0.7857142857142857,74,32
Receipts,arrangement_only,mean,0.8267857142857142,74,32
Receipts,quantity_plus_arrangement,1,0.8125,74,42
Receipts,quantity_plus_arrangement,2,1.0,74,42
Receipts,quantity_plus_arrangement,3,1.0,74,42
Receipts,quantity_plus_arrangement,4,0.8571428571428572,74,42
Receipts,quantity_plus_arrangement,5,0.8571428571428572,74,42
Receipts,quantity_plus_arrangement,mean,0.9053571428571429,74,42
Tables,quantity_only,1,0.7142857142857143,62,10
Tables,quantity_only,2,0.75,62,10
Tables,quantity_only,3,0.8333333333333334,62,10
Tables,quantity_only,4,0.9166666666666667,62,10
Tables,quantity_only,5,0.75,62,10
Tables,quantity_only,mean,0.7928571428571429,62,10
Tables,arrangement_only,1,0.7857142857142857,62,32
Tables,arrangement_only,2,0.3333333333333333,62,32
Tables,arrangement_only,3,0.5833333333333333,62,32
Tables,arrangement_only,4,0.75,62,32
Tables,arrangement_only,5,0.6666666666666667,62,32
Tables,arrangement_only,mean,0.6238095238095239,62,32
Tables,quantity_plus_arrangement,1,0.7142857142857142,62,42
Tables,quantity_plus_arrangement,2,0.6666666666666666,62,42
Tables,quantity_plus_arrangement,3,0.75,62,42
Tables,quantity_plus_arrangement,4,0.75,62,42
Tables,quantity_plus_arrangement,5,0.8333333333333334,62,42
Tables,quantity_plus_arrangement,mean,0.7428571428571429,62,42
UIScreenshots,quantity_only,1,0.7,46,10
UIScreenshots,quantity_only,2,0.8,46,10
UIScreenshots,quantity_only,3,0.6000000000000001,46,10
UIScreenshots,quantity_only,4,0.75,46,10
UIScreenshots,quantity_only,5,0.875,46,10
UIScreenshots,quantity_only,mean,0.745,46,10
UIScreenshots,arrangement_only,1,0.7,46,32
UIScreenshots,arrangement_only,2,0.9,46,32
UIScreenshots,arrangement_only,3,0.8,46,32
UIScreenshots,arrangement_only,4,0.875,46,32
UIScreenshots,arrangement_only,5,0.625,46,32
UIScreenshots,arrangement_only,mean,0.78,46,32
UIScreenshots,quantity_plus_arrangement,1,0.8,46,42
UIScreenshots,quantity_plus_arrangement,2,0.9,46,42
UIScreenshots,quantity_plus_arrangement,3,0.9,46,42
UIScreenshots,quantity_plus_arrangement,4,0.875,46,42
UIScreenshots,quantity_plus_arrangement,5,0.875,46,42
UIScreenshots,quantity_plus_arrangement,mean,0.8699999999999999,46,42
