held_out_category,feature_group,balanced_accuracy,train_images,test_images,features
AcademicPosters,quantity_only,0.5,500,100,10
AcademicPosters,arrangement_only,0.5,500,100,32
AcademicPosters,quantity_plus_arrangement,0.5,500,100,42
CommercialPosters,quantity_only,0.67,500,100,10
CommercialPosters,arrangement_only,0.64,500,100,32
CommercialPosters,quantity_plus_arrangement,0.66,500,100,42
InfographicCharts,quantity_only,0.71,500,100,10
InfographicCharts,arrangement_only,0.58,500,100,32
InfographicCharts,quantity_plus_arrangement,0.63,500,100,42
Receipts,quantity_only,0.8,500,100,10
Receipts,arrangement_only,0.44999999999999996,500,100,32
Receipts,quantity_plus_arrangement,0.78,500,100,42
Tables,quantity_only,0.72,500,100,10
Tables,arrangement_only,0.61,500,100,32
Tables,quantity_plus_arrangement,0.66,500,100,42
UIScreenshots,quantity_only,0.67,500,100,10
UIScreenshots,arrangement_only,0.83,500,100,32
UIScreenshots,quantity_plus_arrangement,0.86,500,100,42
