held_out_category,feature_group,balanced_accuracy,train_images,test_images,features
AcademicPosters,quantity_only,0.86,218,50,10
AcademicPosters,arrangement_only,0.5,218,50,32
AcademicPosters,quantity_plus_arrangement,0.56,218,50,42
CommercialPosters,quantity_only,0.5555555555555556,250,18,10
CommercialPosters,arrangement_only,0.5,250,18,32
CommercialPosters,quantity_plus_arrangement,0.5555555555555556,250,18,42
InfographicCharts,quantity_only,0.6666666666666666,214,54,10
InfographicCharts,arrangement_only,0.6296296296296297,214,54,32
InfographicCharts,quantity_plus_arrangement,0.7037037037037037,214,54,42
Receipts,quantity_only,0.8125,204,64,10
Receipts,arrangement_only,0.34375,204,64,32
Receipts,quantity_plus_arrangement,0.75,204,64,42
Tables,quantity_only,0.6923076923076923,216,52,10
Tables,arrangement_only,0.3269230769230769,216,52,32
Tables,quantity_plus_arrangement,0.5,216,52,42
UIScreenshots,quantity_only,0.6333333333333333,238,30,10
UIScreenshots,arrangement_only,0.4666666666666667,238,30,32
UIScreenshots,quantity_plus_arrangement,0.7666666666666666,238,30,42
