category,real_id,fake_id,real_region_count,fake_region_count,absolute_region_count_difference
AcademicPosters,DVP_103_02a4e6d7446a,DVP_012_002d584c4e7f,189,190,1
AcademicPosters,DVP_118_038d09fb52e0,DVP_091_0232ea61c149,181,182,1
AcademicPosters,DVP_108_02cc39f73e5d,DVP_074_01dd36157623,195,191,4
AcademicPosters,DVP_031_00a25e8951c0,DVP_011_002cb99f3691,148,158,10
AcademicPosters,DVP_041_00cc2dbc33ae,DVP_010_002cab38dc59,226,209,17
AcademicPosters,DVP_062_019b773ed49c,DVP_042_00d29d8e111a,145,170,25
AcademicPosters,DVP_082_020a623627d7,DVP_003_000cc7e882fa,144,176,32
AcademicPosters,DVP_038_00c49d3e5261,DVP_027_007f8f10cccb,120,176,56
AcademicPosters,DVP_081_02055dc1a918,DVP_015_0046cf9c9f1a,269,204,65
AcademicPosters,DVP_056_016cbad5c739,DVP_024_007917063fc5,63,201,138
CommercialPosters,DVP_117_0325723ec38b,DVP_113_0301352ea55d,8,8,0
CommercialPosters,DVP_063_019c92e3ffab,DVP_036_00bf168fd92d,8,24,16
CommercialPosters,DVP_089_022217b75e79,DVP_112_02e23210677c,6,27,21
CommercialPosters,DVP_102_02928c727622,DVP_067_01b2837fcc3a,5,28,23
CommercialPosters,DVP_087_021de251c037,DVP_070_01c3147af964,5,30,25
CommercialPosters,DVP_073_01d2c3267b57,DVP_022_0071d7b81993,4,31,27
CommercialPosters,DVP_104_02b7f3ee0064,DVP_005_001093bb82c1,3,32,29
CommercialPosters,DVP_020_0067c7996c04,DVP_035_00bcfd0e9c96,3,33,30
CommercialPosters,DVP_049_0118f3cf4061,DVP_051_013feef01c56,3,34,31
CommercialPosters,DVP_095_02492978d021,DVP_100_0275cd7b3eb8,2,42,40
InfographicCharts,DVP_019_0062f18128e1,DVP_009_002812010de4,57,57,0
InfographicCharts,DVP_072_01d0a9a5868e,DVP_053_0147eb1ff5d1,44,42,2
InfographicCharts,DVP_106_02beb0a67404,DVP_076_01dd70ff61f2,61,58,3
InfographicCharts,DVP_097_02500044356e,DVP_032_00b1b3aebe3c,34,37,3
InfographicCharts,DVP_014_0042fe15d832,DVP_008_002425e25739,30,37,7
InfographicCharts,DVP_021_006c5fceb252,DVP_046_0107906549df,65,75,10
InfographicCharts,DVP_105_02baf01caec4,DVP_017_0051c3354791,25,50,25
InfographicCharts,DVP_114_0312b40955d7,DVP_078_01f03f916ae9,22,52,30
InfographicCharts,DVP_061_01820d9ac11f,DVP_093_02444e18871c,20,84,64
InfographicCharts,DVP_026_007a5bc356f2,DVP_037_00c137df1a71,14,112,98
Receipts,DVP_079_01f0f7822803,DVP_069_01bcfb59c00e,44,44,0
Receipts,DVP_101_028675fa3647,DVP_090_022e6e2fb2a9,58,57,1
Receipts,DVP_109_02cdf19a37bd,DVP_075_01dd5c9ef4fd,58,56,2
Receipts,DVP_034_00b8efaf230b,DVP_050_0134146f813d,49,52,3
Receipts,DVP_040_00c7f8f86a6c,DVP_084_020c57b53519,48,52,4
Receipts,DVP_039_00c60ed30745,DVP_030_00993b6ea489,46,41,5
Receipts,DVP_096_024ea845b456,DVP_018_00553172e64a,83,69,14
Receipts,DVP_088_021e6b7f3d69,DVP_064_01a3c38c16b2,35,53,18
Receipts,DVP_107_02c420df5932,DVP_083_020bcbf9555b,85,65,20
Receipts,DVP_086_021959f1cc95,DVP_002_00095f59a74b,31,61,30
Tables,DVP_047_010c0e55105c,DVP_045_0102932205a0,66,66,0
Tables,DVP_080_02038acf881a,DVP_023_0074132a6a8f,80,78,2
Tables,DVP_068_01b7dd76924d,DVP_071_01c448a8c43e,43,46,3
Tables,DVP_001_00009dcb92a2,DVP_120_042ba6e59683,89,93,4
Tables,DVP_055_015b3d437c3f,DVP_119_03c8de266eae,114,119,5
Tables,DVP_044_00fc768ab465,DVP_016_004b61a8ee7f,73,120,47
Tables,DVP_085_02153df6c4ff,DVP_115_0318c2e08df7,62,139,77
Tables,DVP_025_007a18897b6b,DVP_094_0247d1ae6c06,54,142,88
Tables,DVP_059_017d3d27150e,DVP_098_026c06614ebc,53,183,130
Tables,DVP_058_017aab6a650f,DVP_116_031ee141cbe8,52,363,311
UIScreenshots,DVP_110_02ce358ab638,DVP_054_0155a51ce8a6,20,20,0
UIScreenshots,DVP_013_003f16df2207,DVP_029_0090071373da,44,43,1
UIScreenshots,DVP_028_008b321370d4,DVP_033_00b8639a4298,14,15,1
UIScreenshots,DVP_060_017dd1a3bd75,DVP_057_01794c2b6b86,30,35,5
UIScreenshots,DVP_077_01ece75e67f5,DVP_065_01abd78c859f,23,41,18
UIScreenshots,DVP_111_02d2900ddb7d,DVP_006_001b9f70299d,22,43,21
UIScreenshots,DVP_099_0275720d8098,DVP_043_00d9532b88f5,21,58,37
UIScreenshots,DVP_052_0143021eaa7a,DVP_092_023f9b1d5afe,14,59,45
UIScreenshots,DVP_066_01ad978401b4,DVP_048_010e09ec457f,12,60,48
UIScreenshots,DVP_007_0020f18400cc,DVP_004_000f693d4a62,8,64,56
