scope,feature_group,fold,balanced_accuracy,images,features
pooled,quantity_only,1,0.6666666666666667,120,10
pooled,quantity_only,2,0.7916666666666667,120,10
pooled,quantity_only,3,0.6666666666666666,120,10
pooled,quantity_only,4,0.7916666666666666,120,10
pooled,quantity_only,5,0.5833333333333333,120,10
pooled,quantity_only,mean,0.7,120,10
pooled,arrangement_only,1,0.5833333333333333,120,32
pooled,arrangement_only,2,0.6666666666666667,120,32
pooled,arrangement_only,3,0.625,120,32
pooled,arrangement_only,4,0.75,120,32
pooled,arrangement_only,5,0.7083333333333333,120,32
pooled,arrangement_only,mean,0.6666666666666666,120,32
pooled,quantity_plus_arrangement,1,0.6666666666666667,120,42
pooled,quantity_plus_arrangement,2,0.75,120,42
pooled,quantity_plus_arrangement,3,0.6666666666666666,120,42
pooled,quantity_plus_arrangement,4,0.7916666666666667,120,42
pooled,quantity_plus_arrangement,5,0.6666666666666666,120,42
pooled,quantity_plus_arrangement,mean,0.7083333333333333,120,42
AcademicPosters,quantity_only,1,1.0,20,10
AcademicPosters,quantity_only,2,1.0,20,10
AcademicPosters,quantity_only,3,0.75,20,10
AcademicPosters,quantity_only,4,1.0,20,10
AcademicPosters,quantity_only,5,1.0,20,10
AcademicPosters,quantity_only,mean,0.95,20,10
AcademicPosters,arrangement_only,1,1.0,20,32
AcademicPosters,arrangement_only,2,0.5,20,32
AcademicPosters,arrangement_only,3,0.5,20,32
AcademicPosters,arrangement_only,4,0.75,20,32
AcademicPosters,arrangement_only,5,0.75,20,32
AcademicPosters,arrangement_only,mean,0.7,20,32
AcademicPosters,quantity_plus_arrangement,1,1.0,20,42
AcademicPosters,quantity_plus_arrangement,2,0.5,20,42
AcademicPosters,quantity_plus_arrangement,3,0.75,20,42
AcademicPosters,quantity_plus_arrangement,4,1.0,20,42
AcademicPosters,quantity_plus_arrangement,5,1.0,20,42
AcademicPosters,quantity_plus_arrangement,mean,0.85,20,42
CommercialPosters,quantity_only,1,1.0,20,10
CommercialPosters,quantity_only,2,1.0,20,10
CommercialPosters,quantity_only,3,0.75,20,10
CommercialPosters,quantity_only,4,1.0,20,10
CommercialPosters,quantity_only,5,0.75,20,10
CommercialPosters,quantity_only,mean,0.9,20,10
CommercialPosters,arrangement_only,1,0.5,20,32
CommercialPosters,arrangement_only,2,1.0,20,32
CommercialPosters,arrangement_only,3,0.5,20,32
CommercialPosters,arrangement_only,4,1.0,20,32
CommercialPosters,arrangement_only,5,1.0,20,32
CommercialPosters,arrangement_only,mean,0.8,20,32
CommercialPosters,quantity_plus_arrangement,1,0.75,20,42
CommercialPosters,quantity_plus_arrangement,2,1.0,20,42
CommercialPosters,quantity_plus_arrangement,3,0.5,20,42
CommercialPosters,quantity_plus_arrangement,4,1.0,20,42
CommercialPosters,quantity_plus_arrangement,5,1.0,20,42
CommercialPosters,quantity_plus_arrangement,mean,0.85,20,42
InfographicCharts,quantity_only,1,0.25,20,10
InfographicCharts,quantity_only,2,1.0,20,10
InfographicCharts,quantity_only,3,1.0,20,10
InfographicCharts,quantity_only,4,0.75,20,10
InfographicCharts,quantity_only,5,0.5,20,10
InfographicCharts,quantity_only,mean,0.7,20,10
InfographicCharts,arrangement_only,1,0.75,20,32
InfographicCharts,arrangement_only,2,0.5,20,32
InfographicCharts,arrangement_only,3,1.0,20,32
InfographicCharts,arrangement_only,4,0.75,20,32
InfographicCharts,arrangement_only,5,0.75,20,32
InfographicCharts,arrangement_only,mean,0.75,20,32
InfographicCharts,quantity_plus_arrangement,1,0.75,20,42
InfographicCharts,quantity_plus_arrangement,2,0.5,20,42
InfographicCharts,quantity_plus_arrangement,3,1.0,20,42
InfographicCharts,quantity_plus_arrangement,4,0.75,20,42
InfographicCharts,quantity_plus_arrangement,5,0.75,20,42
InfographicCharts,quantity_plus_arrangement,mean,0.75,20,42
Receipts,quantity_only,1,1.0,20,10
Receipts,quantity_only,2,0.75,20,10
Receipts,quantity_only,3,0.75,20,10
Receipts,quantity_only,4,1.0,20,10
Receipts,quantity_only,5,0.75,20,10
Receipts,quantity_only,mean,0.85,20,10
Receipts,arrangement_only,1,1.0,20,32
Receipts,arrangement_only,2,0.75,20,32
Receipts,arrangement_only,3,1.0,20,32
Receipts,arrangement_only,4,1.0,20,32
Receipts,arrangement_only,5,0.75,20,32
Receipts,arrangement_only,mean,0.9,20,32
Receipts,quantity_plus_arrangement,1,1.0,20,42
Receipts,quantity_plus_arrangement,2,0.75,20,42
Receipts,quantity_plus_arrangement,3,1.0,20,42
Receipts,quantity_plus_arrangement,4,1.0,20,42
Receipts,quantity_plus_arrangement,5,1.0,20,42
Receipts,quantity_plus_arrangement,mean,0.95,20,42
Tables,quantity_only,1,1.0,20,10
Tables,quantity_only,2,0.75,20,10
Tables,quantity_only,3,1.0,20,10
Tables,quantity_only,4,0.5,20,10
Tables,quantity_only,5,0.5,20,10
Tables,quantity_only,mean,0.75,20,10
Tables,arrangement_only,1,0.5,20,32
Tables,arrangement_only,2,0.5,20,32
Tables,arrangement_only,3,1.0,20,32
Tables,arrangement_only,4,0.75,20,32
Tables,arrangement_only,5,0.75,20,32
Tables,arrangement_only,mean,0.7,20,32
Tables,quantity_plus_arrangement,1,0.5,20,42
Tables,quantity_plus_arrangement,2,0.5,20,42
Tables,quantity_plus_arrangement,3,1.0,20,42
Tables,quantity_plus_arrangement,4,1.0,20,42
Tables,quantity_plus_arrangement,5,0.75,20,42
Tables,quantity_plus_arrangement,mean,0.75,20,42
UIScreenshots,quantity_only,1,0.75,20,10
UIScreenshots,quantity_only,2,0.75,20,10
UIScreenshots,quantity_only,3,0.75,20,10
UIScreenshots,quantity_only,4,1.0,20,10
UIScreenshots,quantity_only,5,0.75,20,10
UIScreenshots,quantity_only,mean,0.8,20,10
UIScreenshots,arrangement_only,1,0.75,20,32
UIScreenshots,arrangement_only,2,0.75,20,32
UIScreenshots,arrangement_only,3,0.75,20,32
UIScreenshots,arrangement_only,4,0.75,20,32
UIScreenshots,arrangement_only,5,1.0,20,32
UIScreenshots,arrangement_only,mean,0.8,20,32
UIScreenshots,quantity_plus_arrangement,1,0.75,20,42
UIScreenshots,quantity_plus_arrangement,2,0.75,20,42
UIScreenshots,quantity_plus_arrangement,3,0.75,20,42
UIScreenshots,quantity_plus_arrangement,4,1.0,20,42
UIScreenshots,quantity_plus_arrangement,5,1.0,20,42
UIScreenshots,quantity_plus_arrangement,mean,0.85,20,42
